Id,SalePrice
1461,124106.98
1462,150360.02
1463,181925.77
1464,186367.14
1465,178717.6
1466,173106.58
1467,161136.14
1468,163291.64
1469,178458.9
1470,119679.8
1471,191440.92
1472,94513.13
1473,93455.516
1474,146781.7
1475,128916.086
1476,367275.97
1477,269238.9
1478,265262.16
1479,244615.78
1480,503061.12
1481,328402.66
1482,201729.7
1483,164908.25
1484,162218.77
1485,167145.81
1486,191077.45
1487,297797.3
1488,240620.56
1489,211968.97
1490,193974.94
1491,184137.02
1492,85457.64
1493,183154.73
1494,287717.38
1495,268961.53
1496,208908.58
1497,173849.8
1498,153261.11
1499,154953.05
1500,145773.27
1501,158187.95
1502,149152.62
1503,288000.78
1504,226933.3
1505,208927.84
1506,178555.31
1507,204804.31
1508,185928.9
1509,153581.84
1510,148494.88
1511,145289.47
1512,165375.39
1513,145769.94
1514,183786.64
1515,192949.53
1516,158281.56
1517,148914.69
1518,130514.31
1519,216180.97
1520,130798.03
1521,135412.33
1522,166768.11
1523,106630.12
1524,120593.53
1525,125259.59
1526,122048.766
1527,102286.85
1528,130743.69
1529,142539.9
1530,175579.77
1531,111102.84
1532,106710.69
1533,143534.98
1534,119091.78
1535,157056.27
1536,114768.805
1537,75878.49
1538,162592.33
1539,154101.73
1540,101240.01
1541,139730.0
1542,138727.19
1543,219995.56
1544,80991.914
1545,102056.34
1546,121616.22
1547,139596.64
1548,129453.125
1549,112348.9
1550,143462.58
1551,110744.17
1552,136094.06
1553,160209.02
1554,109069.38
1555,176688.05
1556,85200.08
1557,109839.39
1558,83342.07
1559,95823.67
1560,143578.14
1561,143480.83
1562,123267.38
1563,118477.695
1564,156969.48
1565,145246.16
1566,229561.03
1567,68046.61
1568,201776.55
1569,148819.86
1570,128787.87
1571,134812.7
1572,150313.3
1573,250373.75
1574,127485.44
1575,211188.89
1576,225557.45
1577,199631.64
1578,143906.36
1579,141292.58
1580,189646.02
1581,146786.19
1582,121836.586
1583,310155.0
1584,220394.2
1585,136118.05
1586,72077.8
1587,97815.61
1588,145353.58
1589,97294.63
1590,126211.62
1591,100884.53
1592,119324.46
1593,119035.83
1594,130250.484
1595,105521.52
1596,232030.36
1597,169991.8
1598,191281.31
1599,183906.12
1600,177029.84
1601,83380.97
1602,111246.84
1603,88169.66
1604,260621.06
1605,222325.16
1606,162735.52
1607,168956.95
1608,217874.73
1609,201761.95
1610,149001.27
1611,143307.33
1612,151551.19
1613,155245.98
1614,125586.74
1615,88275.73
1616,73518.21
1617,88603.484
1618,121546.05
1619,139389.17
1620,153060.08
1621,133503.62
1622,131922.47
1623,261793.27
1624,195341.12
1625,123685.19
1626,160966.86
1627,186545.31
1628,280042.25
1629,175248.48
1630,330912.6
1631,205311.67
1632,210748.89
1633,163407.86
1634,182517.0
1635,177218.9
1636,147212.23
1637,165123.22
1638,202710.8
1639,173271.23
1640,257402.67
1641,166715.72
1642,208595.52
1643,208078.67
1644,210837.39
1645,196366.56
1646,142397.12
1647,161504.17
1648,132372.36
1649,133324.77
1650,110034.39
1651,120641.35
1652,96533.11
1653,97738.02
1654,145581.88
1655,145068.08
1656,139856.72
1657,144495.4
1658,148029.55
1659,131693.95
1660,145050.97
1661,471971.78
1662,370483.28
1663,386204.0
1664,430792.1
1665,287637.28
1666,317051.12
1667,325786.12
1668,310802.8
1669,268525.84
1670,330200.22
1671,244838.67
1672,529809.6
1673,286518.03
1674,247655.86
1675,173154.12
1676,174109.73
1677,202236.27
1678,481515.25
1679,405518.4
1680,304214.78
1681,265826.75
1682,290451.06
1683,170041.92
1684,167040.8
1685,174877.73
1686,169761.05
1687,161870.1
1688,187052.7
1689,195378.78
1690,191884.19
1691,169596.5
1692,257503.64
1693,164712.33
1694,178238.97
1695,159410.38
1696,275560.03
1697,175000.58
